title,artist,link
Frieze from the Temple of Athena Nike (2nd right) (1827),NA,https://collections.ed.ac.uk/art/record/20627?highlight=*:*
Portrait of a Woman with Teacup (1962),Leslie Johns,https://collections.ed.ac.uk/art/record/21264?highlight=*:*
Portrait of a Woman (02 NOV 1953),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21407?highlight=*:*
Reclining Female Nude (1948),Victorine Anne Schilsky,https://collections.ed.ac.uk/art/record/20831?highlight=*:*
Standing Male Nude,R Hardie,https://collections.ed.ac.uk/art/record/21038?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21984?highlight=*:*
Untitled - Country Houses and Fields (1963),Helen Wishart,https://collections.ed.ac.uk/art/record/99451?highlight=*:*
Untitled (1968),Anne Lynch,https://collections.ed.ac.uk/art/record/22492?highlight=*:*
Untitled (1964),Helen Cargill,https://collections.ed.ac.uk/art/record/22484?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/21174?highlight=*:*
Circus,Margaret A Leake,https://collections.ed.ac.uk/art/record/21012?highlight=*:*
Replica cast (white) of Parthenon slab GE31,Unknown,https://collections.ed.ac.uk/art/record/20655?highlight=*:*
Study for Composition - The Long Journey (19 APR 1961),John Picking,https://collections.ed.ac.uk/art/record/111039?highlight=*:*
Doric Order (abacus and capital) of the Parthenon,NA,https://collections.ed.ac.uk/art/record/20638?highlight=*:*
Standing Male Nude (1930-1931),John McNairn,https://collections.ed.ac.uk/art/record/21140?highlight=*:*
Step 4 (2013),Maria Hadam,https://collections.ed.ac.uk/art/record/21309?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,https://collections.ed.ac.uk/art/record/99431?highlight=*:*
Diddly Doodly (2006),John Brown,https://collections.ed.ac.uk/art/record/99953?highlight=*:*
Cape May (1983),G.M. L.,https://collections.ed.ac.uk/art/record/21975?highlight=*:*
Portrait of a Man (1939-1940),Robert A Campbell,https://collections.ed.ac.uk/art/record/21127?highlight=*:*
Harbour at Night,Derek McGuire,https://collections.ed.ac.uk/art/record/21511?highlight=*:*
My Boots Are Wet from the grass (2006),Becky Campbell,https://collections.ed.ac.uk/art/record/99962?highlight=*:*
Landscape (1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/21010?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,https://collections.ed.ac.uk/art/record/99427?highlight=*:*
Untitled (1966),Gillian Mather,https://collections.ed.ac.uk/art/record/22002?highlight=*:*
Gem cabinet 6 (of 6) containing 43 medallions (Unknown),Unknown,https://collections.ed.ac.uk/art/record/20620?highlight=*:*
Untitled - Old Woman (1965-1966),Norman Orr,https://collections.ed.ac.uk/art/record/99406?highlight=*:*
Portrait of a Woman (1963),Roger Cameron,https://collections.ed.ac.uk/art/record/21319?highlight=*:*
Portrait of a Woman (1966),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/21404?highlight=*:*
Three Views of a Seated Female Nude (1959),William Mackay,https://collections.ed.ac.uk/art/record/21163?highlight=*:*
Untitled (1962),Paresh C. Chakraborty,https://collections.ed.ac.uk/art/record/112307?highlight=*:*
Standing Female Nude (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21329?highlight=*:*
Portrait of a Woman (Circa 1939),Ian R McRobbie,https://collections.ed.ac.uk/art/record/21138?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99336?highlight=*:*
View from a Window,Sylvia Mackiewicz,https://collections.ed.ac.uk/art/record/21453?highlight=*:*
Suit of Armour (Circa 1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21170?highlight=*:*
Gem cabinet 3 (of 6) containing 43 medallions (Unknown),Unknown,https://collections.ed.ac.uk/art/record/20617?highlight=*:*
Untitled (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/22023?highlight=*:*
